iter	Logloss
0	0.6442684716
1	0.5992090253
2	0.5581245603
3	0.5170137295
4	0.4837247444
5	0.4563829232
6	0.4298517479
7	0.4079032902
8	0.3871586213
9	0.3671622511
10	0.3515910486
11	0.3364305957
12	0.3242799747
13	0.314505984
14	0.3043458093
15	0.2961687462
16	0.2872445005
17	0.2797628913
18	0.2726326092
19	0.2657430989
20	0.2604257713
21	0.2540464373
22	0.2497604005
23	0.2460966436
24	0.2422495596
25	0.2384677411
26	0.2350000003
27	0.231186189
28	0.2283757433
29	0.2255706964
30	0.223046983
31	0.220518483
32	0.2183099792
33	0.2161086627
34	0.2140642314
35	0.2128896982
36	0.2104706152
37	0.209697209
38	0.2080044727
39	0.2073986962
40	0.2062904926
41	0.2048065741
42	0.2030751773
43	0.2017905444
44	0.2010302476
45	0.1995297394
46	0.1982042841
47	0.1971280448
48	0.1957516723
49	0.1952523711
50	0.1940594307
51	0.1925292189
52	0.191542647
53	0.1905658706
54	0.1897014035
55	0.1892619135
56	0.1885761911
57	0.1877951655
58	0.186608271
59	0.1860816029
60	0.1855687503
61	0.1841629466
62	0.1833630367
63	0.182111037
64	0.1810018517
65	0.1798515451
66	0.1793468567
67	0.1785735988
68	0.1776156472
69	0.1761231662
70	0.1753348003
71	0.1744510087
72	0.1739858643
73	0.173443117
74	0.1727919411
75	0.1724794138
76	0.1723868904
77	0.1718431171
78	0.1711633927
79	0.1706177321
80	0.1701104433
81	0.1696634885
82	0.1688407925
83	0.1682997592
84	0.1673884757
85	0.1664320014
86	0.1654383081
87	0.1646205694
88	0.1639428318
89	0.1633697604
90	0.1627988211
91	0.1624941605
92	0.1619398484
93	0.1614218322
94	0.1610010361
95	0.160645693
96	0.1602191113
97	0.1592946933
98	0.1589044572
99	0.1584437333
100	0.1580961135
101	0.1579650628
102	0.157237962
103	0.1566248934
104	0.1560183436
105	0.1547107158
106	0.1542922253
107	0.1536222921
108	0.1527320298
109	0.1524660486
110	0.1519930463
111	0.1512924005
112	0.1512301446
113	0.1512190358
114	0.1504844705
115	0.1502028794
116	0.1497288842
117	0.1491934802
118	0.1489259988
119	0.1485072344
120	0.1479245679
121	0.1473908479
122	0.1471430963
123	0.1470029517
124	0.1467005589
125	0.1465989204
126	0.1462298294
127	0.1456165431
128	0.1451495031
129	0.1446734327
130	0.144372596
131	0.1436189517
132	0.1428934384
133	0.1423409144
134	0.1419903016
135	0.1411871788
136	0.1408060393
137	0.1405536426
138	0.1402852046
139	0.1399862072
140	0.1395169035
141	0.1391248794
142	0.1386369595
143	0.1381425053
144	0.1377226711
145	0.1370526248
146	0.13630702
147	0.1357546396
148	0.1350076896
149	0.1348728534
150	0.1344845133
151	0.1339990832
152	0.1335713126
153	0.1332885787
154	0.1328413575
155	0.1323385256
156	0.1317700895
157	0.1311990275
158	0.1308057928
159	0.1300706667
160	0.1296049026
161	0.1292133996
162	0.1288068697
163	0.128341466
164	0.1280802758
165	0.1278341782
166	0.1273177257
167	0.1263780634
168	0.1259607824
169	0.1257209355
170	0.1252000971
171	0.1248879442
172	0.1245254012
173	0.1241517355
174	0.1236313947
175	0.1231787614
176	0.1228361547
177	0.1224808216
178	0.1220399307
179	0.1212702189
180	0.120645054
181	0.1204177262
182	0.1202821906
183	0.1198856252
184	0.1195506025
185	0.1192091526
186	0.1188661295
187	0.1183148601
188	0.1179602356
189	0.117522801
190	0.1170796682
191	0.1167002076
192	0.1158575233
193	0.1154045818
194	0.1150132595
195	0.1147057764
196	0.1145580353
197	0.1140259068
198	0.1135949513
199	0.113080105
